state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
Punjab,Amritsar,Rayya,Cauliflower,Local,FAQ,23/07/2025,1300,1300,1300
Punjab,Amritsar,Rayya,Green Chilli,Green Chilly,FAQ,23/07/2025,3400,3400,3400
Punjab,Amritsar,Rayya,Onion,Red,Non-FAQ,23/07/2025,1800,1800,1800
Punjab,Amritsar,Rayya,Raddish,Other,FAQ,23/07/2025,800,800,800
Punjab,Bhatinda,Bhagta Bhai Ka,Onion,Other,FAQ,23/07/2025,2000,2000,2000
Punjab,Fazilka,Fazilka,Bitter gourd,Other,FAQ,23/07/2025,2000,4000,3000
Punjab,Fazilka,Fazilka,Brinjal,Other,FAQ,23/07/2025,1000,2000,1500
Punjab,Fazilka,Fazilka,Jamun(Narale Hannu),Other,Medium,23/07/2025,3000,5000,4000
Punjab,Fazilka,Fazilka,Karbuja(Musk Melon),Karbhuja,Medium,23/07/2025,500,1500,1000
Punjab,Fazilka,Jalalabad,Apple,Other,Large,23/07/2025,4700,5000,4800
Punjab,Fazilka,Jalalabad,Green Chilli,Other,FAQ,23/07/2025,4000,4000,4000
Punjab,Fazilka,Jalalabad,Mousambi(Sweet Lime),Mousambi,Large,23/07/2025,5000,5200,5100
Punjab,Fazilka,Jalalabad,Papaya,Other,Large,23/07/2025,3500,3700,3600
Punjab,Fazilka,Jalalabad,Sweet Pumpkin,Other,FAQ,23/07/2025,800,900,850
Punjab,Fazilka,Jalalabad,Tomato,Other,FAQ,23/07/2025,3200,3400,3300
Punjab,Ferozpur,Zira,Colacasia,Colacasia,FAQ,23/07/2025,2600,3000,2800
Punjab,Gurdaspur,Dera Baba Nanak,Ashgourd,Other,FAQ,23/07/2025,1400,1600,1500
Punjab,Gurdaspur,Dera Baba Nanak,Colacasia,Other,FAQ,23/07/2025,1500,1700,1600
Punjab,Gurdaspur,Gurdaspur,Brinjal,Other,FAQ,23/07/2025,1500,2000,1800
Punjab,Gurdaspur,Gurdaspur,French Beans (Frasbean),Other,FAQ,23/07/2025,4000,5000,4500
Punjab,Gurdaspur,Gurdaspur,Garlic,Other,FAQ,23/07/2025,5000,6000,5500
Punjab,Gurdaspur,Gurdaspur,Mousambi(Sweet Lime),Other,Medium,23/07/2025,3500,4000,3700
Punjab,Hoshiarpur,Garh Shankar,Bitter gourd,Bitter Gourd,FAQ,23/07/2025,1500,2500,2000
Punjab,Hoshiarpur,Garh Shankar,Brinjal,Brinjal,FAQ,23/07/2025,1000,1500,1300
Punjab,Hoshiarpur,Garh Shankar,Cucumbar(Kheera),Cucumbar,FAQ,23/07/2025,1200,2000,1500
Punjab,Hoshiarpur,Garh Shankar,Garlic,Average,FAQ,23/07/2025,5000,6000,5500
Punjab,Hoshiarpur,Garh Shankar,Green Chilli,Green Chilly,FAQ,23/07/2025,2000,2700,2200
Punjab,Hoshiarpur,Garh Shankar,Potato,Other,Non-FAQ,23/07/2025,800,1000,900
Punjab,Hoshiarpur,Garh Shankar,Tomato,Local,FAQ,23/07/2025,2500,3000,2800
Punjab,Hoshiarpur,Mukerian,Bitter gourd,Other,FAQ,23/07/2025,2500,3500,3000
Punjab,Hoshiarpur,Mukerian,Brinjal,Round,FAQ,23/07/2025,2000,3000,2500
Punjab,Hoshiarpur,Mukerian,Cabbage,Other,FAQ,23/07/2025,1500,2500,2000
Punjab,Hoshiarpur,Mukerian,Tomato,Tomato,Non-FAQ,23/07/2025,1500,2500,2000
Punjab,Jalandhar,Jalandhar City(Jalandhar),French Beans (Frasbean),French Beans (Frasbean),FAQ,23/07/2025,2500,4000,3200
Punjab,Jalandhar,Jalandhar City(Jalandhar),Mousambi(Sweet Lime),Other,Medium,23/07/2025,2100,4100,2600
Punjab,Jalandhar,Jalandhar City(Jalandhar),Onion,Other,FAQ,23/07/2025,600,1800,1200
Punjab,Jalandhar,Jalandhar City(Jalandhar),Peas Wet,Other,FAQ,23/07/2025,3500,6500,5000
Punjab,Jalandhar,Jalandhar City(Jalandhar),Water Melon,Water Melon,Medium,23/07/2025,1100,2100,1500
Punjab,Jalandhar,Mehatpur,Pumpkin,Other,FAQ,23/07/2025,2500,2500,2500
Punjab,Jalandhar,Noor Mehal,Bhindi(Ladies Finger),Other,FAQ,23/07/2025,2800,2800,2800
Punjab,Jalandhar,Noor Mehal,Coriander(Leaves),Coriander,FAQ,23/07/2025,1400,1400,1400
Punjab,Jalandhar,Noor Mehal,Pumpkin,Other,FAQ,23/07/2025,2000,2000,2000
Punjab,Ludhiana,Khanna,Apple,Other,Medium,23/07/2025,4000,10000,5000
Punjab,Ludhiana,Khanna,Lemon,Other,FAQ,23/07/2025,2000,3000,2500
Punjab,Ludhiana,Khanna,Pear(Marasebu),Other,Medium,23/07/2025,3000,5000,4000
Punjab,Ludhiana,Khanna,Pumpkin,Other,FAQ,23/07/2025,500,800,600
Punjab,Ludhiana,Khanna,Tomato,Other,FAQ,23/07/2025,1500,2500,2000
Punjab,Ludhiana,Ludhiana,Bhindi(Ladies Finger),Other,FAQ,23/07/2025,1800,2300,2100
Punjab,Ludhiana,Ludhiana,Brinjal,Other,FAQ,23/07/2025,800,1200,1000
Punjab,Ludhiana,Ludhiana,Green Chilli,Other,FAQ,23/07/2025,1000,2800,1700
Punjab,Ludhiana,Ludhiana,Onion,Other,FAQ,23/07/2025,500,1700,1100
Punjab,Ludhiana,Ludhiana,Pomegranate,Other,Medium,23/07/2025,3000,7000,5000
Punjab,Ludhiana,Sahnewal,Bottle gourd,Bottle Gourd,FAQ,23/07/2025,1500,1500,1500
Punjab,Ludhiana,Sahnewal,Potato,Potato,FAQ,23/07/2025,1100,1100,1100
Punjab,Mansa,Mansa,Ginger(Dry),Dry,FAQ,23/07/2025,4500,5500,5000
Punjab,Mansa,Mansa,Grapes,Green,Medium,23/07/2025,10000,12000,11000
Punjab,Mansa,Mansa,Pear(Marasebu),Other,Medium,23/07/2025,3000,5000,4000
Punjab,Mansa,Mansa,Potato,Potato,Non-FAQ,23/07/2025,1500,2500,2000
Punjab,Moga,Kot ise Khan,Bitter gourd,Other,FAQ,23/07/2025,800,1000,900
Punjab,Moga,Kot ise Khan,Green Chilli,Other,FAQ,23/07/2025,1200,1400,1300
Punjab,Moga,Kot ise Khan,Potato,Other,FAQ,23/07/2025,1000,1200,1100
Punjab,Moga,Kot ise Khan,Pumpkin,Other,FAQ,23/07/2025,600,800,700
Punjab,Moga,Nihal Singh Wala,Bhindi(Ladies Finger),Other,FAQ,23/07/2025,2000,2500,2200
Punjab,Mohali,Kharar,Brinjal,Brinjal,FAQ,23/07/2025,2000,2500,2200
Punjab,Mohali,Kurali,Cauliflower,Cauliflower,FAQ,23/07/2025,4500,4600,4550
Punjab,Mohali,Kurali,Garlic,Other,FAQ,23/07/2025,7500,8000,7800
Punjab,Mohali,Lalru,Bitter gourd,Other,FAQ,23/07/2025,2000,2500,2500
Punjab,Mohali,Lalru,Colacasia,Other,FAQ,23/07/2025,3000,3000,3000
Punjab,Mohali,Lalru,Green Chilli,Other,FAQ,23/07/2025,5000,6000,6000
Punjab,Nawanshahr,Nawan Shahar(Subzi Mandi),Brinjal,Other,FAQ,23/07/2025,2700,3000,2800
Punjab,Nawanshahr,Nawan Shahar(Subzi Mandi),Colacasia,Other,FAQ,23/07/2025,2400,2700,2600
Punjab,Nawanshahr,Nawan Shahar(Subzi Mandi),Field Pea,Other,FAQ,23/07/2025,11000,11500,11300
Punjab,Nawanshahr,Nawan Shahar(Subzi Mandi),Garlic,Other,FAQ,23/07/2025,7000,7500,7300
Punjab,Nawanshahr,Nawan Shahar(Subzi Mandi),Round gourd,Other,FAQ,23/07/2025,2500,3000,2800
Punjab,Pathankot,Pathankot,Capsicum,Capsicum,FAQ,23/07/2025,4400,4600,4600
Punjab,Pathankot,Pathankot,Lemon,Lemon,FAQ,23/07/2025,3100,3300,3300
Punjab,Pathankot,Pathankot,Onion,Onion,Non-FAQ,23/07/2025,1400,1800,1800
Punjab,Pathankot,Pathankot,Tomato,Tomato,Non-FAQ,23/07/2025,2600,2800,2800
Punjab,Patiala,Patran,Bhindi(Ladies Finger),Other,FAQ,23/07/2025,2000,2500,2090
Punjab,Patiala,Patran,Bitter gourd,Bitter Gourd,FAQ,23/07/2025,2800,3000,2890
Punjab,Patiala,Patran,Capsicum,Other,FAQ,23/07/2025,4800,7000,6690
Punjab,Patiala,Patran,Mango,Other,Medium,23/07/2025,1500,5900,3250
Punjab,Patiala,Patran,Mousambi(Sweet Lime),Mousambi,Medium,23/07/2025,1600,4500,2330
Punjab,Patiala,Patran,Tomato,Other,FAQ,23/07/2025,1000,2500,1860
Punjab,Ropar (Rupnagar),Chamkaur Sahib,Bottle gourd,Other,FAQ,23/07/2025,1950,2100,2000
Punjab,Ropar (Rupnagar),Chamkaur Sahib,Ginger(Green),Green Ginger,FAQ,23/07/2025,5050,5200,5100
Punjab,Sangrur,Ahmedgarh,Onion,Other,FAQ,23/07/2025,1400,1500,1500
Punjab,Sangrur,Ahmedgarh,Potato,Other,FAQ,23/07/2025,1200,1300,1300
Punjab,Sangrur,Bhawanigarh,Onion,Other,FAQ,23/07/2025,1200,1600,1400
Punjab,Sangrur,Bhawanigarh,Pomegranate,Other,Medium,23/07/2025,12500,12500,12500
Punjab,Tarntaran,Khadur Sahib(Fetehabad),Leafy Vegetable,Other,FAQ,23/07/2025,1000,1200,1200
Punjab,Tarntaran,Patti,Brinjal,Other,FAQ,23/07/2025,2500,3000,2800
Punjab,Tarntaran,Patti,Ginger(Dry),Other,FAQ,23/07/2025,4000,5000,4500
Punjab,Tarntaran,Patti,Pumpkin,Other,FAQ,23/07/2025,1500,2000,1800
Punjab,Tarntaran,Patti,Tomato,Other,FAQ,23/07/2025,1500,2000,1800
Punjab,Bhatinda,Bhagta Bhai Ka,Banana,Other,Medium,23/07/2025,3200,3200,3200
Punjab,Bhatinda,Bhagta Bhai Ka,Pumpkin,Other,FAQ,23/07/2025,3600,3600,3600
Punjab,Fazilka,Fazilka,Apple,Other,Medium,23/07/2025,10000,20000,15000
Punjab,Fazilka,Fazilka,Banana,Other,Medium,23/07/2025,3000,5000,4000
Punjab,Fazilka,Fazilka,Tomato,Other,FAQ,23/07/2025,2000,3000,2500
Punjab,Fazilka,Jalalabad,Bhindi(Ladies Finger),Other,FAQ,23/07/2025,3500,3700,3600
Punjab,Fazilka,Jalalabad,Capsicum,Capsicum,FAQ,23/07/2025,4700,5000,4800
Punjab,Fazilka,Jalalabad,Mango,Other,Large,23/07/2025,5200,5500,5300
Punjab,Fazilka,Jalalabad,Potato,Other,FAQ,23/07/2025,800,1000,900
Punjab,Fazilka,Jalalabad,Water Melon,Other,Large,23/07/2025,1500,1500,1500
Punjab,Ferozpur,Zira,Bottle gourd,Bottle Gourd,FAQ,23/07/2025,1100,1300,1200
Punjab,Ferozpur,Zira,Green Chilli,Green Chilly,FAQ,23/07/2025,3600,4000,3800
Punjab,Ferozpur,Zira,Peas cod,Peas cod,FAQ,23/07/2025,8000,9000,8500
Punjab,Gurdaspur,Gurdaspur,Mango,Other,Medium,23/07/2025,3000,4000,3500
Punjab,Gurdaspur,Gurdaspur,Onion,Other,FAQ,23/07/2025,1400,1600,1500
Punjab,Gurdaspur,Gurdaspur,Potato,Other,FAQ,23/07/2025,600,800,700
Punjab,Gurdaspur,Kalanaur,Bottle gourd,Bottle Gourd,FAQ,23/07/2025,800,800,800
Punjab,Gurdaspur,Sri Har Gobindpur,Cauliflower,Other,FAQ,23/07/2025,300,500,400
Punjab,Hoshiarpur,Garh Shankar,Bhindi(Ladies Finger),Bhindi,FAQ,23/07/2025,2500,3500,3000
Punjab,Hoshiarpur,Garh Shankar,Mango,Other,Medium,23/07/2025,2300,3000,2500
Punjab,Hoshiarpur,Garh Shankar,Papaya,Other,Large,23/07/2025,2500,3200,3000
Punjab,Hoshiarpur,Mukerian,Banana,Banana - Ripe,Medium,23/07/2025,2600,3400,3000
Punjab,Hoshiarpur,Mukerian,Bhindi(Ladies Finger),Other,FAQ,23/07/2025,3000,4000,3500
Punjab,Hoshiarpur,Mukerian,Cucumbar(Kheera),Cucumbar,FAQ,23/07/2025,2500,4500,3500
Punjab,Hoshiarpur,Mukerian,Potato,Potato,Non-FAQ,23/07/2025,1300,1700,1500
Punjab,Jalandhar,Jalandhar City(Jalandhar),Bhindi(Ladies Finger),Other,FAQ,23/07/2025,2000,3000,2500
Punjab,Jalandhar,Jalandhar City(Jalandhar),Carrot,Other,FAQ,23/07/2025,1000,1600,1300
