state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
Kerala,Kozhikode(Calicut),Palayam,Potato,Other,FAQ,2025-07-26,2100,2200,2100
Gujarat,Amreli,Damnagar,Coriander(Leaves),Coriander,FAQ,2025-07-26,1050,2050,1500
Gujarat,Sabarkantha,Modasa(Tintoi),Wheat,Lokwan,FAQ,2025-07-26,2425,2610,2610
Kerala,Thiruvananthapuram,Neyyatinkara,Amaranthus,Amaranthus,FAQ,2025-07-26,3500,4000,3700
Haryana,Gurgaon,Gurgaon,Bottle gourd,Bottle Gourd,FAQ,2025-07-26,1000,2000,1500
Uttrakhand,Haridwar,Roorkee,Brinjal,Other,FAQ,2025-07-26,400,600,500
Kerala,Alappuzha,Chengannur,Capsicum,Other,FAQ,2025-07-26,0,0,9500
Gujarat,Rajkot,Dhoraji,Soyabean,Yellow,Non-FAQ,2025-07-26,4080,4155,4130
Haryana,Kaithal,Dhand,Onion,Other,FAQ,2025-07-26,1500,2000,1900
Kerala,Alappuzha,Harippad,Mango,Other,Medium,2025-07-26,5000,5500,5000
Kerala,Ernakulam,Thrippunithura,Brinjal,Brinjal,FAQ,2025-07-26,5500,7000,5800
Gujarat,Jamnagar,Kalawad,Ground Nut Seed,Other,FAQ,2025-07-26,4000,7050,5800
Gujarat,Amreli,Damnagar,Lemon,Lemon,FAQ,2025-07-26,350,1050,800
Kerala,Kozhikode(Calicut),Mukkom,Coconut Seed,Other,FAQ,2025-07-26,7500,7900,7700
Gujarat,Amreli,Bagasara,Bengal Gram(Gram)(Whole),Average (Whole),Non-FAQ,2025-07-26,4650,5000,4825
Kerala,Thirssur,Thrissur,Banana,Banana - Ripe,Medium,2025-07-26,5500,5500,5500
Kerala,Thiruvananthapuram,Neyyatinkara,Banana - Green,Banana - Green,FAQ,2025-07-26,5400,6000,5700
Uttrakhand,Haridwar,Roorkee,Mango,Other,Large,2025-07-26,1500,3000,2000
Kerala,Kozhikode(Calicut),Palayam,Snakeguard,Other,FAQ,2025-07-26,3000,3000,3000
Gujarat,Surat,Mahuva(Anaval),Pointed gourd (Parval),Other,FAQ,2025-07-26,2400,2600,2500
Kerala,Kollam,Sasthamkotta,Brinjal,Other,FAQ,2025-07-26,3000,3500,3200
Kerala,Thiruvananthapuram,Neyyatinkara,Colacasia,Colacasia,FAQ,2025-07-26,7400,8000,7700
Uttrakhand,Haridwar,Roorkee,Onion,Other,FAQ,2025-07-26,2000,4000,3000
Kerala,Kozhikode(Calicut),Mukkom,Cucumbar(Kheera),Cucumbar,FAQ,2025-07-26,3400,3800,3500
Kerala,Alappuzha,Harippad,Onion,Big,FAQ,2025-07-26,2400,2800,2400
Kerala,Kottayam,Pampady,Snakeguard,Other,FAQ,2025-07-26,3500,5000,4500
Kerala,Thiruvananthapuram,PAPPANCHANI VFPCK,Cucumbar(Kheera),Cucumbar,FAQ,2025-07-26,48,50,49
Kerala,Thiruvananthapuram,Neyyatinkara,Bitter gourd,Bitter Gourd,FAQ,2025-07-26,6000,6500,6200
Gujarat,Jamnagar,Dhrol,"Sesamum(Sesame,Gingelly,Til)",Other,FAQ,2025-07-26,5000,8500,6750
Kerala,Alappuzha,Harippad,Green Chilli,Other,FAQ,2025-07-26,4000,4600,4000
Gujarat,Jamnagar,Kalawad,Cotton,Other,FAQ,2025-07-26,8075,8075,8075
Kerala,Thiruvananthapuram,Neyyatinkara,Beetroot,Beetroot,FAQ,2025-07-26,5400,6000,5700
Kerala,Kozhikode(Calicut),Kallachi,Green Chilli,Green Chilly,FAQ,2025-07-26,7300,7700,7500
Uttrakhand,Haridwar,Roorkee,Bottle gourd,Other,FAQ,2025-07-26,500,700,600
Gujarat,Sabarkantha,Modasa,Maize,Hybrid Red (Cattle Feed),FAQ,2025-07-26,2250,2315,2315
Kerala,Kozhikode(Calicut),Mukkom,Cowpea(Veg),Cowpea (Veg),FAQ,2025-07-26,5800,6200,6000
Haryana,Bhiwani,Bhiwani,Apple,Apple,Large,2025-07-26,6540,7120,6890
Kerala,Kozhikode(Calicut),Palayam,Cabbage,Other,FAQ,2025-07-26,1500,1500,1500
Kerala,Kozhikode(Calicut),Perambra,Amaranthus,Amaranthus,FAQ,2025-07-26,3500,4000,4000
Kerala,Ernakulam,Mazhuvannur VFPCK,Papaya,Other,Large,2025-07-26,1200,2400,1700
Kerala,Alappuzha,Harippad,Cowpea(Veg),Other,FAQ,2025-07-26,4000,4500,4000
Gujarat,Sabarkantha,Modasa(Tintoi),Maize,Hybrid Red (Cattle Feed),Non-FAQ,2025-07-26,2150,2215,2215
Kerala,Kozhikode(Calicut),Mukkom,Amaranthus,Amaranthus,FAQ,2025-07-26,3400,3600,3500
Kerala,Thirssur,Thrissur,Cowpea(Veg),Cowpea (Veg),FAQ,2025-07-26,5000,5000,5000
Haryana,Gurgaon,Gurgaon,Bhindi(Ladies Finger),Other,FAQ,2025-07-26,2000,4000,3000
Haryana,Jind,Narwana,Banana,Other,Medium,2025-07-26,1600,1600,1600
Kerala,Kozhikode(Calicut),Mukkom,Bhindi(Ladies Finger),Bhindi,FAQ,2025-07-26,4500,4800,4600
Kerala,Thirssur,Thrissur,Brinjal,Brinjal,FAQ,2025-07-26,3000,3000,3000
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Bottle gourd,Other,FAQ,2025-07-26,800,800,800
Uttrakhand,Haridwar,Roorkee,Bitter gourd,Other,FAQ,2025-07-26,450,700,550
Kerala,Alappuzha,Chengannur,Amphophalus,Other,FAQ,2025-07-26,6000,6300,6200
Kerala,Alappuzha,Chengannur,Drumstick,Other,FAQ,2025-07-26,3700,4200,4000
Kerala,Wayanad,Pulpally,Amaranthus,Other,FAQ,2025-07-26,2600,2800,2700
Kerala,Kottayam,Pampady,Green Chilli,Green Chilly,FAQ,2025-07-26,9000,10000,9500
Kerala,Ernakulam,Thrippunithura,Snakeguard,Snakeguard,FAQ,2025-07-26,5000,6000,5200
Uttrakhand,Haridwar,Roorkee,Pumpkin,Other,FAQ,2025-07-26,400,600,500
Gujarat,Rajkot,Dhoraji,Wheat,Lokwan,Non-FAQ,2025-07-26,2455,2595,2595
Kerala,Alappuzha,Chengannur,Mango (Raw-Ripe),Mango - Raw-Ripe,FAQ,2025-07-26,5800,6500,6000
Kerala,Thirssur,Thrissur,Elephant Yam (Suran),Other,FAQ,2025-07-26,5200,5200,5200
Uttrakhand,Haridwar,Roorkee,Tomato,Other,FAQ,2025-07-26,1000,2000,1500
Kerala,Kozhikode(Calicut),Mukkom,Orange,Other,Large,2025-07-26,12500,13500,13000
Kerala,Ernakulam,Mazhuvannur VFPCK,Tapioca,Other,FAQ,2025-07-26,1800,2000,1900
Kerala,Kozhikode(Calicut),Mukkom,Onion,Onion,FAQ,2025-07-26,2600,3000,2800
Gujarat,Mehsana,Kadi,Ajwan,Other,FAQ,2025-07-26,4350,6500,6000
Kerala,Kottayam,Pampady,Amaranthus,Amaranthus,FAQ,2025-07-26,3000,4500,4000
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Bhindi(Ladies Finger),Other,FAQ,2025-07-26,2500,3000,2500
Uttrakhand,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Bitter gourd,Other,FAQ,2025-07-26,500,750,600
Haryana,Jind,Narwana,Bhindi(Ladies Finger),Bhindi,FAQ,2025-07-26,3000,3000,3000
Kerala,Kottayam,Pampady,Banana,Medium,Medium,2025-07-26,6000,7500,7000
Kerala,Wayanad,Pulpally,Coffee,Other,FAQ,2025-07-26,18600,18800,18700
Kerala,Ernakulam,Thrippunithura,Lemon,Other,FAQ,2025-07-26,6000,7000,6200
Kerala,Kozhikode(Calicut),Palayam,Bhindi(Ladies Finger),Other,FAQ,2025-07-26,4500,4500,4500
Kerala,Thiruvananthapuram,Neyyatinkara,Cabbage,Other,FAQ,2025-07-26,3500,4000,3700
Kerala,Ernakulam,Thrippunithura,Capsicum,Capsicum,FAQ,2025-07-26,9000,12000,10000
Kerala,Thiruvananthapuram,Neyyatinkara,Tomato,Tomato,FAQ,2025-07-26,4300,5000,4700
Kerala,Kannur,Mattannur  VFPCK,Banana,Nendra Bale,Large,2025-07-26,5200,5200,5200
Kerala,Thirssur,Thrissur,Lemon,Other,FAQ,2025-07-26,3000,3000,3000
